target,RA_ICRS,e_RA,DE_ICRS,e_DE,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,std_delta_ra,std_delta_de,std_delta_pmra,std_delta_pmde,cov_delta_ra_de,cov_delta_ra_pmra,cov_delta_ra_pmde,cov_delta_de_pmra,cov_delta_de_pmde,cov_delta_pmra_pmde,problem
HD160089,264.77478714209946,0.0483907507513833,-26.93788770810299,0.0403459810423943,18.733091240023715,0.0490374196917813,-10.269642776988066,0.1035761695636495,-74.97448313578329,0.0733620954363035,-33.43970011492637,0.235876258322145,1.3441875066643089e-07,1.1207216955702107e-07,1.0357611316343716,0.7336204054957566,1.399573853593362e-23,5.169287020283008e-16,1.7266314937651476e-15,-1.6728601624866279e-16,-3.1489440923315607e-16,-7.604422798876342e-07,1
HD16008,38.45528452212086,0.0447987089093627,-19.61165323967152,0.0437001451844523,18.52178191913519,0.0565447790357956,220.81866699997764,0.0815539683125381,35.43336500387626,0.0900339339168248,13.932200561285889,0.1828617121245063,1.2444084570223898e-07,1.2138928598267085e-07,0.8155008133091735,0.900337827223007,-6.899175613889928e-22,-1.5168238640886277e-13,-2.5064272466119254e-14,-9.678676779865249e-14,8.390761167063378e-15,-9.543147010047254e-06,0
HD16031,38.546300623926136,0.043355202767227,-12.385083703626991,0.0360941020863275,8.142972563408303,0.0484298635642631,60.116182822438624,0.0814915056932476,-184.2460705138764,0.0843072266639571,24.351195109671107,0.4187100403448779,1.204311185790771e-07,1.002613946724187e-07,0.8149146742210103,0.843065674504732,8.755111809382126e-24,-5.512082926741035e-15,2.381235762065628e-14,1.1195563374096672e-15,-4.520142582039477e-15,2.6171351930055103e-06,33
HD160617,265.7051626456479,0.0458338108998622,-40.32266690770573,0.0446279965733744,9.549209205469204,0.0569045364794916,-62.39053772828153,0.0896921854976587,-393.1853780565219,0.0717339454940301,100.36901669209998,0.3109699593562661,1.273161408523497e-07,1.2396665706502538e-07,0.8969130012128714,0.7171809323924915,4.901717843316617e-24,2.3101696321235222e-14,5.356915591747508e-14,1.477098011015942e-14,6.282795988584194e-14,-5.876625032559159e-05,1
HD160720,266.23292124864565,0.0582706189157351,-57.54559348985515,0.0802525952410413,7.379440568427791,0.0842593353009378,19.271147762626637,0.1007666904606627,-12.260306541610966,0.1273891537883677,-5.551323834569381,0.1263358781812626,1.6186282919992332e-07,2.229238716288856e-07,1.0076625858938113,1.2738873564614674,1.9519142535991653e-23,1.0813616920912642e-14,3.9440450026179606e-14,7.440579158033542e-14,5.100777334500522e-14,1.6208186886436422e-06,1
HD160836,265.60519518021823,0.0443877204232299,-9.076233486305837,0.0409699679680206,27.17570994053268,0.04804843987248,24.95220607350184,0.0888997523447003,-47.80216211947891,0.0770077223899812,-8.029007772947647,0.1915880125286849,1.2329922225299644e-07,1.1380546652694767e-07,0.8889970637047248,0.7700767223917865,1.0430701377533326e-23,1.45299061376231e-14,1.2013488780083732e-14,-9.8235567068444e-16,7.851145321156122e-16,-5.057877827154433e-07,0
HD161098,265.9339157144564,0.0516065703487363,-3.918901834036339,0.0504833571878353,33.54526598929171,0.0531669139715382,-108.7235097377107,0.1036704748760424,-240.77387038803585,0.096086724689043,-17.069720189917774,0.1838952620695222,1.4335147852115786e-07,1.4023153166020413e-07,1.0362025295116994,0.9601061762922856,2.139891455211701e-21,4.038408021692586e-12,4.192079930710667e-12,-5.445016886216032e-13,-4.0782767605489995e-13,-0.0011922744509396,16
HD161256,267.09234947066216,0.0330557386172913,-60.660837616321416,0.0349784045138972,16.2757174130087,0.0422109344059002,-21.27824811083859,0.0510611758927007,-27.673203564522943,0.059639382850039,13.7011123931701,0.1509345892280055,9.182149601291229e-08,9.716223425757305e-08,0.5106106078184393,0.5963931318168221,1.0687569426521535e-24,5.046881028953488e-15,2.9137518652491046e-15,-2.250039591692235e-16,5.058734626574998e-15,-6.94031102794613e-07,0
HD16141,38.83236743338194,0.0469696035931039,-3.562488749258039,0.0395646509822066,26.43596638913733,0.057983611616969,-154.6480046096162,0.0740893436954949,-435.2976713708544,0.0737037920964108,-50.98551912427772,0.1253172184402201,1.304711036160311e-07,1.099018059390522e-07,0.7407924654569201,0.736541901024488,-7.331962142116257e-22,3.5917543522269754e-13,5.717252075109102e-13,1.0853214330031467e-13,2.608464394634615e-13,-0.0003198070971828,0
HD161555,266.6324972826988,0.0470840898036964,-7.98630006142926,0.0438458668418347,16.757464362951247,0.0529609600855283,-1.6600890331925713,0.0913379601553095,-148.89751648815667,0.0759757510694941,72.2373056352616,0.1999745232790905,1.30789136914539e-07,1.2179407449114426e-07,0.9133779378001776,0.7597432981981193,-3.01661868928739e-23,3.1629735749668936e-14,7.265969884864316e-14,2.7846661622618668e-15,1.0772042872585167e-14,-7.365362142010107e-06,1
